genus,MinimumElevation
Acanthocereus,7
Acharagma,1417
Ancistrocactus,946.8571429
Ariocarpus,758
Astrophytum,1103.666667
Bergerocactus,209.6666667
Carnegiea,1640
Cephalocereus,792
Cereus,1021
Cleistocactus,366
Cochemiea,180
Corynopuntia,300
Coryphantha,1455
Cylindropuntia,871.522293
Disocactus,1966.833333
Echinocactus,890.6666667
Echinocereus,1247.206704
Echinomastus,1285.9
Echinopsis,434.75
Epiphyllum,711
Epithelantha,997
Erdisia,335
Escobaria,700
Ferocactus,942.3809524
Glandulicactus,1253.333333
Grusonia,923.9310345
Hylocereus,299
Lemaireocereus,274
Lophocereus,249.3
Lophophora,933.5
Machaerocereus,150
Mammillaria,792.71875
Melocactus,25
Micropuntia,1452
Myrtillocactus,478.8
Neolloydia,1366.2
Nopalea,6
Nopalxochia,1219
Opuntia,1127.423497
Pachycereus,298.2857143
Pediocactus,2031.125
Peniocereus,393.7777778
Pereskia,430.5
Pereskiopsis,497.5
Pilosocereus,552.6
Polaskia,1500
Pseudorhipsalis,914
Rathbunia,457
Rhipsalis,677
Sclerocactus,1568.9
Selenicereus,628.4444444
Stenocactus,1494
Stenocereus,383
Tephrocactus,369
Thelocactus,1101.545455
Trichocereus,100
Turbinicarpus,2301
Weberocereus,1219
mammillaria,1918.333333
