county,count
(Jußrez),1
Álamos,1
Ímuris,2
Acaponeta,1
Adams,1
Agiabampo,1
Agua Prieta,5
Agualeguas,2
Ahome,3
Ahuacatlán Municipio,1
Ahumada,1
Aiken,1
Alamos,20
Alamos Municipio,2
Altar,1
Anáhuac,2
Andrews,1
Angel de la Guarda,2
Apache,8
Aqua Verde,1
Arteaga,1
Ascención,1
Ascensión,1
Asientos,1
Asotin,1
Atemajac de Brizuela,1
Autlán de Navarro,1
Baca,1
Bacadéhuachi,4
Bacanora,3
Balancan,1
Baldwin,1
Balleza,1
Bandera,2
Batopilas,4
Bavispe,2
Beaver,3
Benjamín Hill,5
Bernalillo,1
Bexar,1
Blanco,2
Boulder,1
Brewster,119
Brookings,1
Buchanan,1
Bullock,1
Burlington,1
Burnet,1
Bustamante,2
Cárdenas,1
Cabo Rojo,2
Caborca,10
Cadereyta,4
Cadereyta de Montes Municipio,1
Cajeme,1
Calkiní,1
Calpulalpan Municipio,6
Caltepec,1
Calvillo,2
Cameron,1
Carmen,1
Casualidad,1
Catemaco,1
Catorce,1
Catron,1
Cerralvo,1
Cerro de San Pedro,1
Chaffee,2
Chapulhuacán,1
Chaves,10
Chihuahua,3
Chilpancingo De Los Bravo,1
Chiquilistlan,1
Churchill,4
Cibola,1
Cimarron,2
Ciudad del Maiz,1
Clark,19
Coatzacoalcos,1
Cochise,87
Coconino,80
Cohuila,6
Coke,3
Colón,1
Coleman,1
Colfax,1
Colima,1
Comala,6
Comalcalco,1
Comapa,1
Comondu,1
Concepción del Oro,3
Concordia,1
Concordia Municipio,2
Conejos,1
Cosío,1
Costilla,1
Coxcatlán,1
Coyuca,1
Coyuca de Catalán Mun.,1
Crockett,1
Cuatro Cienegas,1
Cuatrociénegas,4
Cuatrocienegas,2
Cuautitlán de García Barragán,1
Cuicatlan,3
Culberson,8
Culiacán,1
Culiacan,2
Curry,1
Distr. Tehuantepec,1
Distr. Tlaxiaco,1
Distr. Tuxtla Gutierrez,1
Divisaderos,1
Doña Ana,9
Dona Ana,13
Dublan,2
Duchesne,3
Durango,1
Dzemul,4
Ector,1
Eddy,30
El Fuerte,2
El Grullo,1
El Paso,18
Eloxochitlán,1
Emery,2
Empalme Municipio,1
Ensenada,40
Ensenada Municipio,1
Escobedo,1
Escuintla,1
Esmeralda,1
Etchojoa,7
Eureka,1
Evans,1
Ezequiel Montes Municipio,1
Forrest,1
Fortin,1
Fremont,2
Gaines,1
Galeana,2
Galveston,1
Garfield,3
General Cepeda,1
General Plutarco Elías Calles,1
Gila,55
Gomez Farias,1
Graham,30
Grant,5
Greenlee,1
Greer,1
Guachochi,2
Guadacalzar,1
Guadalajara,2
