source,target
Cylindropuntia,Cylindropuntia bigelovii
Cylindropuntia,Cylindropuntia acanthocarpa
Cylindropuntia,Cylindropuntia arbuscula
Cylindropuntia,Cylindropuntia leptocaulis
Cylindropuntia,Cylindropuntia ramosissima
Cylindropuntia,Cylindropuntia spinosior
Cylindropuntia,Cylindropuntia echinocarpa
Cylindropuntia,Cylindropuntia x tetracantha
Cylindropuntia,Cylindropuntia x kelvinensis
Opuntia,Opuntia microdasys
Grusonia,Grusonia kunzei
Grusonia,Grusonia parishii
Cylindropuntia,Cylindropuntia fulgida
Cylindropuntia,Cylindropuntia versicolor
Carnegiea,Carnegiea gigantea
Stenocereus,Stenocereus thurberi
Opuntia,Opuntia pinkavae
Opuntia,Opuntia X neoarbuscula
Sclerocactus,Sclerocactus erectocentrus
Sclerocactus,Sclerocactus intertextus
Sclerocactus,Sclerocactus johnsonii
Sclerocactus,Sclerocactus papyracanthus
Opuntia,Opuntia aurea
Peniocereus,Peniocereus greggii
Peniocereus,Peniocereus striatus
Lophocereus,Lophocereus schottii
Coryphantha,Coryphantha chlorantha
Echinocereus,Echinocereus dasyacanthus
Echinocereus,Echinocereus coccineus
Echinocereus,Echinocereus nicholii
Echinocereus,Echinocereus polyacanthus
Echinocereus,Echinocereus rigidissimus
Escobaria,Escobaria vivipara
Escobaria,Escobaria missouriensis
Ferocactus,Ferocactus cylindraceus
Ferocactus,Ferocactus emoryi
Ferocactus,Ferocactus wislizeni
Cylindropuntia,Cylindropuntia imbricata
Cylindropuntia,Cylindropuntia whipplei
Opuntia,Opuntia basilaris
Opuntia,Opuntia chlorotica
Opuntia,Opuntia erinacea
Opuntia,Opuntia ficus-indica
Opuntia,Opuntia fragilis
Opuntia,Opuntia kleiniae
Opuntia,Opuntia littoralis
Opuntia,Opuntia macrorhiza
Sclerocactus,Sclerocactus parviflorus
Sclerocactus,Sclerocactus whipplei
Pediocactus,Pediocactus bradyi
Pediocactus,Pediocactus paradinei
Pediocactus,Pediocactus peeblesianus
Pediocactus,Pediocactus sileri
Pediocactus,Pediocactus simpsonii
Opuntia,Opuntia nicholii
Opuntia,Opuntia phaeacantha
Opuntia,Opuntia polyacantha
Opuntia,Opuntia pulchella
Mammillaria,Mammillaria grahamii
Mammillaria,Mammillaria heyderi
Mammillaria,Mammillaria Lasiacantha
Mammillaria,Mammillaria mainiae
Epithelantha,Epithelantha micromeris
Mammillaria,Mammillaria tetrancistra
