imgname,id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references,accessURI
1,654617,ASU,Plants,,PreservedSpecimen,98a80bd9-fde8-4307-8a06-3f48864f9b7d,ASU0051478,235300,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia leptocaulis,61,(DC.) Knuth,Cylindropuntia,leptocaulis,,,E. Makings,,,,,,,Elizabeth Makings,,3,10/08/00,2000,10,8,282,,,,sandy soil near desert wash,,shrubby cactus ca. 1.5m tall and 2.5m wide with numerous red fruits,,,,shrubby cactus ca. 1.5m tall and 2.5m wide with numerous red fruits,"Cercidium microphyllum, Acacia greggii, Larrea, Ambrosia deltoidea,",fr,,0,,,,,USA,Arizona,Pinal County,,Gold Canyon area,,0,,33.3701,-111.437,,,"N 33d 22.204m, W 111d 26.235m",,,,,,568,,,,,1864ft,,,alorozco,03/08/18 11:13,14848,1,urn:uuid:98a80bd9-fde8-4307-8a06-3f48864f9b7d,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=654617,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051478.jpg
2,693672,ASU,Plants,,PreservedSpecimen,cc7fa5d8-195b-4462-87d5-b5353c81dcae,ASU0051477,246889,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia leptocaulis,61,(DC.) Knuth,Cylindropuntia,leptocaulis,,,,,,,,,,Elizabeth Makings,,659,8/24/2001,2001,8,24,236,,,,"Catclaw acacia woodland, alluvial terrace transitioning into Chihuahuan desertscrub",,"cylindrical-stemmed cactus to 1.5 m, occasional",,,,"cylindrical-stemmed cactus to 1.5 m, occasional","Mimosa aculeaticarpa var. biuncifera, Acacia greggii, Prosopis velutina,  Viguiera dentata, Hymenothrix wislezen",,,0,,,,,USA,Arizona,Cochise County,,"Upper San  Pedro River floodplain,''Contention Mill'' site, ~3 miles north of Hwy 82, ~250m west of San Pedro",,0,,31.7648,-110.204,,,,,,,,,1152,,,,,3781ft,,,Liz,03/08/18 11:13,61764,1,urn:uuid:cc7fa5d8-195b-4462-87d5-b5353c81dcae,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=693672,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051477.jpg
3,724153,ASU,Plants,,PreservedSpecimen,597c16de-5d82-459b-ab24-edb8e23d6030,ASU0051710,246438,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia ramosissima,62,(Engelm.) Knuth,Cylindropuntia,ramosissima,,,,,,,,,,Marc A. Baker,,15389,5/16/2003,2003,5,16,136,,,Photo,Dissected lower bajada,,Frequent shrub,,,,Frequent shrub,"Acamptopappus spaerocephalus, Baileya multiradiata, Cylindropuntia acanthocarpa, C. echinocarpa, Echinocereus engelmannii...",flowers,,0,,,,,USA,Arizona,Mohave County,,Elbow Canyon 7.5' Quad.; 7.8km SSW of Littlefield; 1km southeast of the Virgin River,,0,,36.832,-113.962,,,UTM: 235857 4080131,,,,,,580,,,,,,,,roisan,03/08/18 11:13,96020,1,urn:uuid:597c16de-5d82-459b-ab24-edb8e23d6030,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=724153,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051710.jpg
4,1101015,DES,,,PreservedSpecimen,768ddc03-e0e2-40c2-b5da-be658ec6e26f,DES00055119,,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia x tetracantha,68,(Toumey) Knuth,Cylindropuntia,x tetracantha,,,,,,,,,,R. Puente,A. Puente-Reinhardt,1303,4/15/1999,1999,4,15,105,,,,"Upper Sonoran Desert, granitic substrate on mountainous topography",,"Shrub to 1.5 ft tall, fruits spiny, dry when ripe, Rare",,,,,"Carnegia gigantea, Prosopis juliflora, Cercidium floridum, C. microphyllum, Opuntia leptocaulis, C. acanthocarpa var. major, C. fulgida, C. arbuscula, Opuntia engelmannii var. engelmannii, O. phaeacantha, Larrea tridentata, Lycium spp, Viguiera spp",,,0,,,,,USA,Arizona,Pinal County,,"15 aerial miles due E of Florence, along Whitlow Ranch Rd",,0,,33.001389,-111.288889,,,33d 0m 5s N; 111d 17m 20s W,,,,,,671,,,,,2200ft.,,,Edson,01/06/15 14:31,10894,5,urn:uuid:768ddc03-e0e2-40c2-b5da-be658ec6e26f,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=1101015,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00055/DES00055119_lg.jpg
5,1101016,DES,,,PreservedSpecimen,c1e417c9-c17d-46a7-9f76-90ea781f9ff8,DES00000228,,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia x tetracantha,68,(Toumey) Knuth,Cylindropuntia,x tetracantha,,,,,,,,,,George Olin,,B-527,2/24/1950,1950,2,24,55,,,,,,,,,,,,stems,,0,,,,,USA,Arizona,Pima County,,Tucson.,,0,,32.258214,-110.941928,,,32d 15m 29.57s N; 110d 56m 30.94s W,,,,,,724,,,,,- 2376ft.,,,Steve,01/06/15 14:31,20850,5,urn:uuid:c1e417c9-c17d-46a7-9f76-90ea781f9ff8,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=1101016,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00000/DES00000228_lg.jpg
6,1101017,DES,,,PreservedSpecimen,fc8fa6cd-8e37-49b0-9484-8fef79895e38,DES00063121,,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia x tetracantha,68,(Toumey) Knuth,Cylindropuntia,x tetracantha,,,Donald Pinkava,,,,,,,Marc A. Baker,,8092,2/20/1991,1991,2,20,51,,,,Jojoba scrub.,,"Solitary individual forming a cespitose shrub with 6 main trunks, stems to 6dm long, green with gray wax, the ultimate segments easily detachable but no clong observed; spines purple-brown, sheaths pale gray at base, yellow-brown toward tip; fruit mostly leathery, some dry, generally green suffused with yellow or red, especially toward the apex, upper areoles with spines (these pale gray without sheaths), glochidia dark brown; individuals of the putative parents abundant in the immediate area.",,,,,"Canotia holacantha, Carnegiea gigantea, Cercidium microphyllum, Eriogonum fasciculatum, Gutierrezia sarothrae, Larrea tridentata, Opuntia acanthocarpa (MB8904), O. engelmannii, O, leptocaulis (MB8903), and Prosopis velutina.",,,0,,,,,USA,Arizona,Gila County,,"Tonto Basin, Windy Hill 7.5' USGS topographic map.",,0,,33.741788,-111.08734,,,12S 491910E 3733530N,,,,,,801,,,,,2630ft.,,,lois,7/13/2015 14:23,34814,5,urn:uuid:fc8fa6cd-8e37-49b0-9484-8fef79895e38,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=1101017,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00063/DES00063121_lg.jpg
7,724711,ASU,Plants,,PreservedSpecimen,813a0dfe-d7c9-498a-a335-54845c8f1eae,ASU0051434,147443,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia x kelvinensis,69,(V. Grant & K.A. Grant) P.V. Heath,Cylindropuntia,x kelvinensis,,,"D. J. Pinkava, 1993",,,,,,,Lyle A. McGill,D. J. Pinkava,2462,5/18/1978,1978,5,18,138,,,"Sheet 2 of 2, see 98992; photos; cited Madrono 39(2):101. 1992; Chrom #: n=11",Desert with cacti and mesquite,,"Fruit chains proliferating to 4 units long; perianth pinkish; stigmas cream-white; filaments pink above, green below; style faint pink; plant 1.5-2m tall, 2m wide; anthers yellow; pollen stain = 51.1%",,,,"Fruit chains proliferating to 4 units long; perianth pinkish; stigmas cream-white; filaments pink above, green below; style faint pink; plant 1.5-2m tall, 2m wide; anthers yellow; pollen stain = 51.1%","Cacti, mesquite",flowers & fruit,,0,,,,,USA,Arizona,Pinal County,,Route 289; east of Florence; ca. 15.5 road-miles from junction of Routes 289 and 80-89; then 4.1 road-miles along right fork (ca. 1.4 miles southeast of Box O Ranch turnoff),,0,,32.9331,-111.09,,,,,,GEOLocate_032105; High precision,not reviewed,,,,,,,,,,roisan,03/08/18 11:13,96681,1,urn:uuid:813a0dfe-d7c9-498a-a335-54845c8f1eae,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=724711,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051434.jpg
8,657965,ASU,Plants,,PreservedSpecimen,2595fa86-3c32-4990-aa08-86f2175aba41,,222224,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Opuntia microdasys,70,(Lehm.) Pfeiff.,Opuntia,microdasys,,,,,,,,,,Dixie Z. Damrel,D. W. Damrel,2234,5/16/1999,1999,5,16,136,,,Photos,Desert,,"Ca. 60cm tall; growing in spreading, erect clumps ca. 1m x 2m; ca. green pads with white glochids; tepals yellow; filaments yellow; stigma green; this same cactus has been established at least since 1993, when the collectors lived near this area",,,,"Ca. 60cm tall; growing in spreading, erect clumps ca. 1m x 2m; ca. green pads with white glochids; tepals yellow; filaments yellow; stigma green; this same cactus has been established at least since 1993, when the collectors lived near this area",,flowers,,0,,,,,USA,Arizona,Pima County,,"Off of Anklam Road (East of Ankalm Wash) and Shannon Road in West Tucson, in an area of garbage, broken bottles and old ocnstruction refuse",,0,,32.2217,-110.926,,,,,,GEOLocate_032105; Low precision,not reviewed,,,,,,,,,,roisan,03/08/18 11:09,22952,1,urn:uuid:2595fa86-3c32-4990-aa08-86f2175aba41,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=657965,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/OPMI_222224_M.jpg
9,771122,ASU,Plants,,PreservedSpecimen,b2d717f7-40a9-4995-9b6f-ed7680bf115c,ASU0051364,259080,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia fulgida,85,(Engelm.) Knuth,Cylindropuntia,fulgida,,,,,,,,,,Marc A. Baker,,15705,7/18/2004,2004,7,18,200,,,,Disclimax grassland,,,,,,,"Accacia greggii, Aristida purpurea, A. ternipes, Carnegia gigantea, Celtis pallida?",,,0,,,,,USA,Arizona,Pima County,,"Stevens Mountain; 12 km SSW of of Three Points, 45 km SW of Tucson, Altar Valley, 17 km NW of the summit of the Sierrita Mountains.",,0,,31.972,-111.363,,,,,,,,,885,,,,,2900ft,,,matt,03/08/18 11:13,158748,1,urn:uuid:b2d717f7-40a9-4995-9b6f-ed7680bf115c,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=771122,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051364.jpg
10,891689,ARIZ,,,PreservedSpecimen,urn:uuid:823889c2-c7b9-4c61-a970-f78066b79394,377920,,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia versicolor,86,(Engelm. Ex J. M. Coult.) Knuth,Cylindropuntia,versicolor,,,R. S. Felger,03/09/85,,,,,,"R. S. Felger; Goodman Larson, Jean Russell",,85-546,03/09/85,1985,3,9,68,,"March,9,1985","Cholla 1.5-1.8 m tall; tepals and stamens chartreuse, stamens versitile; old fruit fleshy, persistant, occasionally in 'chains' of 2 or 3 (also on desert flat near entrance)",South-facing rocky slope; near canyon entrance,,,,,,,,,,,,,,,Mexico,Sonora,Guaymas Municipio,,"CaÃ±Ã³n Nacapules, ca 6 km north of BahÃ­a San Carlos",,,,28.166667,-111.058333,,,,,,,,,150,,,,,,,,,1/27/2014 10:38,171330,2,urn:uuid:5565a909-d25e-4d71-aa38-eddd7d4dc5f3,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=891689,http://db.herbarium.arizona.edu/images/ARIZ/377/ariz377920_lg.jpg
