id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
716850,ASU,Plants,,PreservedSpecimen,497289e2-1a41-41d6-8b27-ea379903d4e2,,203941,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia bigelovii,48,(Engelm.) Knuth,Cylindropuntia,bigelovii,,,,,,,,,,Marc A. Baker,,11663,3/9/1995,1995.0,3.0,9.0,68.0,,,"Rev. by D.J. Pinkava, 1996. Unusual spination.; Chrom #: 3x=33",Upper bajada of gravelly loam,,Frequent shrub to 2m tall.,,,,Frequent shrub to 2m tall.,"Ambrosia deltoidea, Ericameria laricifolia, Krameria erecta, Ferocactus acanthodes, O. bigelovii, Yucca baccata,",flw,,0.0,,,,,USA,Arizona,Maricopa,,"4km south of Pinnacle Peak, 1.4mi e of Pima Rd, 75m  north of Happy Valley Rd; ca. 100m west of the guard gate at Desert Highlands subdivision. T4N, R5E S8.; Elev.: 2180f",,0.0,,33.7194,-111.882,,,,,,GEOLocate_032105; Medium precision,not reviewed,,,,,,,,,,,3/8/2018 11:18,85427,1,urn:uuid:497289e2-1a41-41d6-8b27-ea379903d4e2,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=716850
722080,ASU,Plants,,PreservedSpecimen,f75c01c3-8562-44b5-a7df-c493d03e40ef,,232866,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia bigelovii,48,(Engelm.) Knuth,Cylindropuntia,bigelovii,,,,,,,,,,G. Walters,,420,5/22/2000,2000.0,5.0,22.0,143.0,,,Photo,Slope 3°; W aspect,,Infrequent perennial succulent; corolla yellow-green; 1.25m tall,,,,Infrequent perennial succulent; corolla yellow-green; 1.25m tall,"Larrea tridentata, Parkinsonia microphylla",flowers,,0.0,,,,,USA,Arizona,Maricopa,,Arizona National Guard Papago Park Military Reservation; entrance to Air Guard,,0.0,,33.4581,-111.949,,,,,,GEOLocate_032105; Low precision,not reviewed,,378.0,,,,,,,,roisan,3/8/2018 11:18,92922,1,urn:uuid:f75c01c3-8562-44b5-a7df-c493d03e40ef,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=722080
722081,ASU,Plants,,PreservedSpecimen,d2f344b0-205a-4dee-9c0a-92c9214dac57,,238355,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia bigelovii,48,(Engelm.) Knuth,Cylindropuntia,bigelovii,,,,,,,,,,Marc A. Baker,,13820-2,6/13/2000,2000.0,6.0,13.0,165.0,,,,Metamorphic granite,,Common in lower portions of canyon; often decumbent to pendent.,,,,Common in lower portions of canyon; often decumbent to pendent.,"Acacia greggii, Aristida purpurea, Cylindropuntia acanthocarpa, Encelia farinosa, Ephedra fasciculata, Eriogonum fasciculatum, E. inflatum...",flowers & fruit,,0.0,,,,,USA,Arizona,Mohave County,,Diamond Peak Quad.; 500m SSE of confluence of Peach Springs Canyon and Diamond Creek; Peach Spirngs Canyon,,0.0,,35.7636,-113.368,,,DMS: 35d  45m 30s N; 113d 21m 35s W; UTM: 12S 286700 3959450,,,,,,475.0,,,,,1560ft,,,roisan,3/8/2018 11:18,92923,1,urn:uuid:d2f344b0-205a-4dee-9c0a-92c9214dac57,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=722081
716845,ASU,Plants,,PreservedSpecimen,4d2515e9-37fe-4c12-b966-ba2084ee484b,,,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia acanthocarpa,59,(Engelm. & Bigelow) F.M. Knuth,Cylindropuntia,acanthocarpa,,,,,,,,,,R. Puente,,1506,4/10/1999,1999.0,4.0,10.0,100.0,,,Det. By R. Puente,Upper Sonoran Desert on granitic substrate on mountanous topography,,Shrub to .60 m tall; flowers 5 - 6 cm in diameter at anthesis; tepals orange; filaments purple; anthers yellow; stile pink-purple; stigma lobes green. Abundant.,,,,Shrub to .60 m tall; flowers 5 - 6 cm in diameter at anthesis; tepals orange; filaments purple; anthers yellow; stile pink-purple; stigma lobes green. Abundant.,"Carnegia gigantea, Prosopis juliflora, Cercidium microphyllum, Cylindropuntia leptocaulis, C. acanthocarpa var. major, C. fulgida, Opuntia enegelmannii var. engelmannii, O. phaeacantha, Larrea tridentata, Lycium spp, Acacia greggii.",flw,,0.0,,,,,USA,Arizona,Gila,,"Pobrecito Recreation Area, .75 mi north of watercraft parking lot. 33*35'32'', 111*32'27''; Elev.: 460 m",,0.0,,33.5922,-111.541,,,,,,,,,,,,,,,,,,7/29/2018 15:53,85422,1,urn:uuid:4d2515e9-37fe-4c12-b966-ba2084ee484b,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=716845
719110,ASU,Plants,,PreservedSpecimen,802dcb71-f3a8-4e02-9a9e-097bcae77f28,,247048,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia acanthocarpa,59,(Engelm. & Bigelow) F.M. Knuth,Cylindropuntia,acanthocarpa,,,,,,,,,,Richard S. Felger,Jonathan Pierce Wick,02-163,2/19/2002,2002.0,2.0,19.0,50.0,,,,"Bajada; rocky, granitic soil.",,"Ca. 1m tall, the cladodes moderately maroon - green, the spines dark colored; fruits mostly dry, but this and other similar plants with some green, fleshy fruits.",,,,"Ca. 1m tall, the cladodes moderately maroon - green, the spines dark colored; fruits mostly dry, but this and other similar plants with some green, fleshy fruits.","Parkinsonia microphylla, Larrea, Carnegiea, Fouquieria, Ferocactus emoryi...",,,0.0,,,,,USA,Arizona,Maricopa,,"Sonoran Desert National Monument, road to Table Top Mountain campground, at 3 mi by road eastward from Vekol Road.",,0.0,,32.7083,-112.19,WGS84,,DMS: 32d  42m 30s N; 112d 11m 24s W,,,,,,637.0,,,,,,,,Vidya,3/8/2018 11:18,88599,1,urn:uuid:802dcb71-f3a8-4e02-9a9e-097bcae77f28,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=719110
721860,ASU,Plants,,PreservedSpecimen,fc3f814c-5139-4c41-8393-b2b58d487812,,232861,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia acanthocarpa,59,(Engelm. & Bigelow) F.M. Knuth,Cylindropuntia,acanthocarpa,,,,,,,,,,Raul Puente,,1506,4/10/1999,1999.0,4.0,10.0,100.0,,,"Sheet 1 of 2, see 232863",Upper Sonoran Desert on granitic substrate on mountanous topography,,Shrub to 0.6m tall; flowers 5-6cm in diameter at anthesis; tepals orange; filaments purple; anthers yellow; style pink-purple; stigma lobes green; abundant,,,,Shrub to 0.6m tall; flowers 5-6cm in diameter at anthesis; tepals orange; filaments purple; anthers yellow; style pink-purple; stigma lobes green; abundant,"Carnegiea gigantea, Prosopis juliflora, Cercidium microphyllum, Cylindropuntia leptocaulis, C. acanthocarpa var. engelmannii, O. phaeacantha, Larrea tridentata, Lycium spp., Acacia greggii",flowers & fruit,,0.0,,,,,USA,Arizona,Gila,,Pobrecito Recreation Area; 0.75 miles north of watercraft parking lot,,0.0,,33.5922,-111.541,,,,,,,,,,,,,,,,,roisan,7/29/2018 15:53,92468,1,urn:uuid:fc3f814c-5139-4c41-8393-b2b58d487812,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=721860
716846,ASU,Plants,,PreservedSpecimen,6790d8dc-f6a2-4cae-a02a-99d488732555,,,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia arbuscula,60,(Engelm.) Knuth,Cylindropuntia,arbuscula,,,,,,,,,,R. Puente,G. Reinhardt y A. Puente-Reinhardt,2000,9/2/2000,2000.0,9.0,2.0,246.0,,,Det. By R. Puente,Rocky slopes on basaltic substrate in desert scrub with,,"Shrub to 1.5m tall, spineless, stems cylindrical, to 1.3 cm in diameter; fruits clavated.",,,,"Shrub to 1.5m tall, spineless, stems cylindrical, to 1.3 cm in diameter; fruits clavated.","Larrea tridentata, Carnegia gigantea, Opuntia engelmannii, Cylindropuntia fulgida, Cylindropuntia acanthocarpa, Ambrosia deltoidea, Cercidium microphyllum, Ferocactus sp.",fr,,0.0,,,,,USA,Arizona,Pima County,,Campground at Picacho Peak State Park.,,0.0,,32.0556,-111.946,,,,,,GEOLocate_032105; Medium precision,not reviewed,,,,,,,,,,,3/8/2018 11:18,85423,1,urn:uuid:6790d8dc-f6a2-4cae-a02a-99d488732555,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=716846
716847,ASU,Plants,,PreservedSpecimen,60f7f926-3b26-4080-87a8-9f8c03dda4c2,,,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia arbuscula,60,(Engelm.) Knuth,Cylindropuntia,arbuscula,,,,,,,,,,R. Puente,G. Reinhardt y A. Puente-Reinhardt,2001,9/2/2000,2000.0,9.0,2.0,246.0,,,Det. By R. Puente,Mezquite bosque with grasses in rocky slopes.,,"Shrub to 1.30m tall, spines; fruits green to pink blushed. Common.",,,,"Shrub to 1.30m tall, spines; fruits green to pink blushed. Common.","Prosopis juliflora, Anisacanthus thurberi, Cylindropuntia arbuscula, Opuntia engelmannii.",fr,,0.0,,,,,USA,Arizona,Santa Cruz,,"Arizona State Hwy 82, 12 km northeast of Nogales on road to Sonoita. 31*22'46''; 110*53'05''; Elev.: 1147m",,0.0,,31.4167,-110.844,,,,,,GEOLocate_032105; High precision,not reviewed,,,,,,,,,,,7/29/2018 15:57,85424,1,urn:uuid:60f7f926-3b26-4080-87a8-9f8c03dda4c2,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=716847
716848,ASU,Plants,,PreservedSpecimen,31b9b20c-22b6-41a3-8a36-d0d40c481784,,,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia arbuscula,60,(Engelm.) Knuth,Cylindropuntia,arbuscula,,,,,,,,,,R. Puente,A. Puente-Reinhardt,1554,4/15/1999,1999.0,4.0,15.0,105.0,,,Det. By R. Puente,Upper Sonoran Desert on granitic substrate on mountanous topography,,"Treelet with defined trunk, to 2.5m tall; areoles with 1 spine; flower 3.5 - 4 cm in diameter at anthesis; tepals maroon-brownish;style light gream to cream, stigma lobes pink-purple; filaments light green; anthers yellow.",,,,"Treelet with defined trunk, to 2.5m tall; areoles with 1 spine; flower 3.5 - 4 cm in diameter at anthesis; tepals maroon-brownish;style light gream to cream, stigma lobes pink-purple; filaments light green; anthers yellow.","Carnegia gigantea, Prosopis juliflora, cercidium floridum, C. microphyllum, Opuntia leptocaulis, C. acanthocarpa var. major, C. fulgida, C. arbuscula, Opuntia enegelmannii var. engelmannii, O. phaeacantha, Larrea tridentata, Lycium spp, Viguiera sp.",flw,,0.0,,,,,USA,Arizona,Pinal County,,"About 18 aerial miles due east of Florence, along Withlow Ranch Road. Near 33*00'05'',111*17'20''.; Elev.: 2300 ft",,0.0,,33.0314,-111.387,,,,,,GEOLocate_032105; Low precision,not reviewed,,,,,,,,,,,3/8/2018 11:18,85425,1,urn:uuid:31b9b20c-22b6-41a3-8a36-d0d40c481784,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=716848
274270,USFS,TEUI,,PreservedSpecimen,53585f91-3030-46e4-b42f-468b062fbf85,,,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia leptocaulis,61,(DC.) Knuth,Cylindropuntia,leptocaulis,,,,,,,,,,Elizabeth Makings,"Norm Ambos, Pat Boness, Andy Casillas",2541,12/5/2006,2006.0,12.0,5.0,339.0,,,,"mesquite- curley mesquite grassland; LSM 3, +1",,"shrub to 4 ft., fruits greenish, occasional",,,,"shrub to 4 ft., fruits greenish, occasional","Prosopis velutina, Hilaria belangeri, Yucca baccata, Acacia, Bouteloua curtipendula, Echinocereus, Opuntia,",,,0.0,,,,,USA,Arizona,Gila,,Tonto National Forest;Camerman Wash quadrangle; base of Tonto 'thumb' just west of Hwy 77 near Forest Boundary,,0.0,,33.490320000000004,-110.745,,,Lat/Long:  33d  29.419m N 110d 44.699m W;,,,,,,1420.0,,,,,4643,,,,2/15/2007 12:52,938,17,urn:uuid:53585f91-3030-46e4-b42f-468b062fbf85,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=274270
