year,count
1885,1
1892,2
1894,1
1895,4
1897,4
1900,3
1902,2
1905,6
1906,3
1907,1
1909,2
1910,1
1911,5
1912,1
1913,1
1920,1
1929,1
1930,1
1933,3
1934,4
1935,5
1936,3
1937,5
1938,2
1939,3
1940,2
1943,2
1944,3
1946,3
1947,6
1948,6
1949,3
1950,6
1951,13
1952,10
1953,13
1954,3
1955,5
1956,1
1957,3
1958,1
1959,2
1960,3
1961,8
1962,3
1963,11
1964,19
1965,25
1966,31
1967,21
1968,9
1969,10
1970,22
1971,6
1972,23
1973,24
1974,18
1975,14
1976,15
1977,34
1978,44
1979,42
1980,18
1981,44
1982,78
1983,50
1984,27
1985,38
1986,31
1987,39
1988,43
1989,27
1990,43
1991,39
1992,40
1993,74
1994,32
1995,49
1996,19
1997,26
1998,65
1999,82
2000,41
2001,85
2002,29
2003,39
2004,22
2005,35
2006,45
2007,37
2008,53
2009,47
2010,26
2011,35
2012,42
2013,12
2014,14
2015,21
2016,9
2017,13
2018,13
2019,5
